company,industry sector,retained_earnings,revenue,ebit,current_assets,current_liabilities,total_assets,total_liabilities,working_capital,market_value_equity,latest credit rating (if applicable),sector,trade_credit,utility_pay,bank_tx,tax_compliance,digital_footprint,fcf_vol_ratio,cf_int_cov,revenue_quality,business_age_years,mgmt_track_record,industry_survival_rate,geo_risk,Country,Country Rating,X1,X2,X3,X4,X5,Z_raw,alt_adj,cf_adj,qual_adj,scale_pen,lev_pen,Z_adj,PD_model,PD_final,Rating
GUJARAT HY-SPIN LTD,"Textiles, Apparel & Luxury Goods",23619000,10949974,-12403000,202484000,138767008,330928000,139808992,63717000,348399987.0,,Consumer Discretionary,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.1925403713194411,0.07137202049992748,-0.03747945172363777,2.491971238874249,0.0330886899869458,0.8723089779089508,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,0.6253415634082751,0.0001574339769306281,0.027570845289618787,BB
SJ CORP LTD,"Textiles, Apparel & Luxury Goods",75456000,1811373,-3441000,78135000,10101000,93912000,10101000,68034000,469049695.0,,Consumer Discretionary,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.7244441604906722,0.8034755941732686,-0.03664068489649885,10.0,0.019287982366470738,3.8916266930743673,0.1200000000000001,0.4330325854993241,-0.8,-1.0,0.0,2.644659278573692,0.0,0.027500000000000004,BB
VOITH PAPER FABRICS INDIA LT,"Textiles, Apparel & Luxury Goods",3802800128,22287210,374510016,2836300032,354190016,4272130048,425400000,2482109952,8489718407.0,,Consumer Discretionary,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.5810005604024159,0.8901414716483836,0.0876635335984978,10.0,0.005216884727194522,4.227127321195256,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,3.9801599066945803,0.0,0.027500000000000004,BB
BINDAL EXPORTS LTD,"Textiles, Apparel & Luxury Goods",43521000,3194950,6982000,92136000,17558000,108566000,19041000,74578000,129317247.0,,Consumer Discretionary,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.6869369784278687,0.40087135935744156,0.06431111029235673,6.791515519142902,0.029428642484755817,3.071386089156647,0.1200000000000001,0.4330325854993241,-0.8,-1.0,0.0,1.8244186746559707,0.0,0.027500000000000004,BB
RUDRA ECOVATION LTD,"Textiles, Apparel & Luxury Goods",940380992,3146007,-28035000,119911000,103154000,1265515008,210766000,16757000,5645204550.0,,Consumer Discretionary,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.013241249526137583,0.7430816592891801,-0.022153036370786368,10.0,0.002485949973024737,3.3095701019137973,0.1200000000000001,0.4330325854993241,-0.8,-1.0,0.0,2.062602687413121,0.0,0.027500000000000004,BB
MK EXIM INDIA LTD,"Textiles, Apparel & Luxury Goods",570809024,10966276,224512000,892150976,29487000,1007136000,32654000,862664000,2755064813.0,,Consumer Discretionary,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.8565516474438407,0.5667645918723986,0.22292123407365044,10.0,0.010888575127887396,4.770625083404823,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,4.523657668904148,0.0,0.027500000000000004,BB
HEADS UP VENTURES LTD,Specialty Retail,-67480000,167947,7630000,171088992,25954000,182640000,29294000,145135008,225242608.0,,Consumer Discretionary,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.7946507227332458,-0.3694699956197985,0.04177617170389838,7.689035570423978,0.0009195521243977223,2.90575195671633,0.1200000000000001,0.4330325854993241,-0.8,-1.0,0.0,1.6587845422156544,0.0,0.027500000000000004,BB
PNGS GARGI FASHION JEWELLERY,Specialty Retail,893283008,14947738,368636000,1082247040,108159000,1171970048,175108992,974088000,9648293495.0,,Consumer Discretionary,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.8311543470435176,0.7622063460789059,0.3145438747595024,10.0,0.012754368616765197,5.1724389495660565,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,4.925471535065381,0.0,0.027500000000000004,BB
TOTAL DYNAMIC HOLDINGS SDN B,Software,-2165000,3059965,3388000,10715000,943000,16043000,1838000,9772000,,,Technology,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.6091130087888799,-0.13494982235242786,0.21118244717322196,,0.19073521161877455,,0.1200000000000001,0.4330325854993241,-0.8,-1.0,0.0,,0.0,0.02365,BB
JF TECHNOLOGY BHD,Semiconductors & Semiconductor Equipment,36554000,9209511,2414000,82588000,5567000,146478000,13733000,77021000,454258497.0,,Technology,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,Malaysia,A-,0.5258195770013244,0.24955283387266347,0.01648029055557831,10.0,0.06287299799287265,3.7288590914676605,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,3.4818916769669848,0.001042199933469335,0.0045000000000000005,A-
